JUDET,"Total someri, din care: ",fara studii,invatamant primar ,invatamant gimnazial ,invatamant liceal,invatamant posticeal,invatamant profesional/arte si meserii,invatamant universitar
ALBA,4581,345,772,1565,1052,56,597,194
ARAD,2311,444,268,622,537,23,253,164
ARGES,7820,420,1987,2585,1334,108,1092,294
BACAU,5969,413,962,2156,1368,75,811,184
BIHOR,2721,249,551,640,563,109,332,277
BISTRITA NASAUD,4043,234,543,1254,1076,42,705,189
BOTOSANI,3326,144,594,1265,776,24,446,77
BRAILA,3331,618,737,1121,347,42,360,106
BRASOV,5259,767,1409,1615,773,44,432,219
BUZAU,8580,858,2100,2937,1355,48,1180,102
CALARASI,3304,357,957,1094,548,41,257,50
CARAS-SEVERIN,2292,295,323,553,656,39,300,126
CLUJ,4013,629,788,962,627,78,625,304
CONSTANTA,4742,712,799,1109,1391,37,426,268
COVASNA,3477,405,1275,832,643,18,243,61
DAMBOVITA,5106,546,1246,1949,690,27,526,122
DOLJ,14795,752,4563,4625,3016,84,1517,238
GALATI,10817,1200,2234,3986,1848,69,1200,280
GIURGIU,2027,195,285,677,720,12,100,38
GORJ,3751,0,439,1146,1127,60,774,205
HARGHITA,4501,705,1348,889,917,34,474,134
HUNEDOARA,5690,432,668,1523,1665,94,913,395
IALOMITA,3411,345,915,1221,436,27,433,34
IASI,7955,531,1648,2635,1110,75,1746,210
ILFOV,903,124,223,233,191,7,61,64
MARAMURES,3170,119,726,866,737,75,465,182
MEHEDINTI,5077,632,876,2083,772,52,585,77
BUCURESTI,13386,22,142,2347,4977,443,2199,3256
MURES,5682,702,1968,1535,780,55,501,141
NEAMT,5486,459,922,1946,880,53,1056,170
OLT,7356,616,904,2776,1683,74,1200,103
PRAHOVA,5806,504,960,1634,1364,54,996,294
SALAJ,4343,440,1436,1205,681,52,418,111
SATU MARE,4377,728,1747,1311,288,12,242,49
SIBIU,3362,303,1109,787,497,37,441,188
SUCEAVA,10071,961,2170,3358,1634,109,1512,327
TELEORMAN,7914,791,1279,3725,1164,34,826,95
TIMIS,2745,304,289,514,811,24,341,462
TULCEA,2477,0,723,715,630,0,334,75
VALCEA,4226,142,426,1297,1128,105,921,207
VASLUI,8281,452,2022,3646,990,61,1046,64
VRANCEA,4996,319,1578,1863,695,44,408,89
TOTAL,223480,19214,46911,70802,44477,2557,29294,10225
