JUDET,TOTAL ,Sub 25 ani,25 - 29 ani,30 - 39 ani,40 - 49 ani,50 - 55 ani,peste 55 ani
ALBA,4814,736,457,827,1111,820,863
ARAD,2356,208,114,362,590,528,554
ARGES,7731,859,559,1390,2031,1515,1377
BACAU,6212,864,388,850,1475,1264,1371
BIHOR,2892,318,181,466,734,549,644
BISTRITA NASAUD,3958,484,247,567,965,888,807
BOTOSANI,2965,310,157,320,713,669,796
BRAILA,3268,428,189,450,805,600,796
BRASOV,5097,951,510,917,1076,806,837
BUZAU,8196,650,430,1195,2156,1999,1766
CALARASI,3143,429,125,619,802,534,634
CARAS-SEVERIN,2287,241,132,323,527,540,524
CLUJ,4121,399,216,755,1017,891,843
CONSTANTA,4536,695,387,635,964,769,1086
COVASNA,3667,1271,620,464,584,370,358
DAMBOVITA,4895,649,393,767,1088,942,1056
DOLJ,14819,1476,971,2296,3946,3192,2938
GALATI,10337,1389,822,1191,2620,2226,2089
GIURGIU,1915,317,183,194,432,335,454
GORJ,3563,234,167,505,922,921,814
HARGHITA,4436,871,399,862,1009,657,638
HUNEDOARA,6395,622,401,984,1695,1634,1059
IALOMITA,3586,406,230,455,887,721,887
IASI,7851,822,337,1021,2037,1672,1962
ILFOV,981,189,51,131,230,210,170
MARAMURES,3336,602,316,565,772,574,507
MEHEDINTI,5251,300,234,739,1488,1247,1243
BUCURESTI,13487,172,1197,3028,3708,3091,2291
MURES,5486,1154,438,1008,1337,729,820
NEAMT,5578,566,271,748,1461,1255,1277
OLT,7122,974,508,820,1678,1564,1578
PRAHOVA,5658,821,381,787,1384,1265,1020
SALAJ,4155,566,322,900,1046,665,656
SATU MARE,4351,626,276,990,1207,641,611
SIBIU,3356,490,303,600,811,530,622
SUCEAVA,10126,1361,734,1928,2657,1591,1855
TELEORMAN,8258,804,518,1338,2041,1742,1815
TIMIS,2339,237,154,428,641,444,435
TULCEA,2341,349,189,256,580,560,407
VALCEA,4333,545,351,530,1019,1029,859
VASLUI,8628,552,293,1182,2606,2111,1884
VRANCEA,4822,568,319,766,1185,1004,980
TOTAL,222648,26505,15470,35159,56037,45294,44183
