JUDET,"Total someri, din care: ",fara studii,invatamant primar ,invatamant gimnazial ,invatamant liceal,invatamant posticeal,invatamant profesional/arte si meserii,invatamant universitar
ALBA,4988,391,873,1735,1060,47,678,204
ARAD,2642,538,407,712,514,27,287,157
ARGES,7796,415,2009,2625,1207,107,1141,292
BACAU,6431,426,1058,2290,1558,61,843,195
BIHOR,2808,260,620,659,550,55,380,284
BISTRITA NASAUD,4015,246,552,1337,923,46,684,227
BOTOSANI,2833,128,580,1190,444,23,388,80
BRAILA,3315,653,761,1087,320,33,355,106
BRASOV,5349,801,1512,1731,592,36,462,215
BUZAU,8070,818,1967,2870,1076,58,1169,112
CALARASI,2941,326,744,962,507,25,325,52
CARAS-SEVERIN,2287,320,341,509,597,45,335,140
CLUJ,4107,604,797,1020,667,74,637,308
CONSTANTA,5171,673,892,1340,1279,50,621,316
COVASNA,3834,439,1479,1017,539,18,293,49
DAMBOVITA,4701,465,1057,1789,697,29,545,119
DOLJ,15022,800,4873,4674,2739,100,1571,265
GALATI,10225,1076,2402,3984,1235,73,1141,314
GIURGIU,1942,178,584,640,390,11,95,44
GORJ,3730,0,435,1226,964,67,805,233
HARGHITA,4552,755,1389,942,845,41,456,124
HUNEDOARA,6316,411,661,1594,1808,179,1116,547
IALOMITA,3626,356,1041,1304,403,18,463,41
IASI,8072,571,1665,2686,1122,56,1754,218
ILFOV,935,129,264,234,176,8,67,57
MARAMURES,3352,119,804,821,792,95,508,213
MEHEDINTI,5322,664,937,2132,841,56,610,82
BUCURESTI,13537,20,128,2364,5042,448,2232,3303
MURES,5560,721,2216,1455,541,49,460,118
NEAMT,5495,474,821,1994,929,61,1039,177
OLT,7094,622,896,2817,1387,82,1184,106
PRAHOVA,5687,553,970,1693,1136,59,976,300
SALAJ,4237,440,1489,1243,468,31,452,114
SATU MARE,4411,743,1789,1346,228,7,257,41
SIBIU,3457,355,1188,839,395,33,451,196
SUCEAVA,9984,1082,2326,3411,1285,109,1459,312
TELEORMAN,8197,850,1379,3913,1064,40,863,88
TIMIS,2301,328,250,506,534,26,289,368
TULCEA,2392,0,721,756,484,0,359,72
VALCEA,4501,164,457,1349,1249,69,989,224
VASLUI,8697,447,2228,3749,1043,44,1119,67
VRANCEA,4888,318,1501,1840,661,55,438,75
TOTAL,224820,19679,49063,72385,40291,2551,30296,10555
