JUDET, Numar total someri , Numar total someri femei  , Numar total someri barbati  , Numar  someri indemnizati  , Numar someri neindemnizati ,  Rata somajului (%)  ,  Rata somajului Feminina (%)  ,  Rata somajului Masculina (%)  
ALBA,5443,2584,2859,1134,4309,3.61,3.73,3.51
ARAD,2348,1228,1120,741,1607,1.24,1.48,1.04
ARGES,8082,3911,4171,1684,6398,3.56,3.79,3.37
BACAU,5277,2353,2924,1263,4014,2.84,2.99,2.74
BIHOR,2859,1549,1310,1030,1829,1.22,1.49,1.01
BISTRITA NASAUD,4677,2376,2301,1302,3375,4.16,4.88,3.61
BOTOSANI,3305,1561,1744,639,2666,3.07,3.15,3.00
BRAILA,3447,1528,1919,345,3102,3.20,3.18,3.23
BRASOV,5352,2538,2814,682,4670,2.13,2.32,1.98
BUZAU,7346,3116,4230,826,6520,5.18,4.93,5.37
CALARASI,3425,1705,1720,535,2890,4.67,5.21,4.24
CARAS-SEVERIN,2320,1085,1235,855,1465,2.56,2.89,2.32
CLUJ,4238,2173,2065,921,3317,1.21,1.41,1.05
CONSTANTA,5453,3264,2189,1572,3881,2.00,2.85,1.39
COVASNA,3264,1538,1726,373,2891,4.20,4.51,3.95
DAMBOVITA,4667,2395,2272,945,3722,2.84,3.68,2.29
DOLJ,16408,7163,9245,1375,15033,7.29,7.27,7.31
GALATI,9317,4339,4978,947,8370,5.62,5.95,5.36
GIURGIU,2186,1199,987,301,1885,3.39,4.24,2.73
GORJ,4263,2133,2130,1046,3217,3.57,3.89,3.30
HARGHITA,5017,2387,2630,942,4075,4.23,4.80,3.82
HUNEDOARA,6278,3387,2891,1955,4323,4.03,4.87,3.36
IALOMITA,3619,1721,1898,500,3119,4.64,4.97,4.37
IASI,8338,3784,4554,796,7542,3.11,3.09,3.13
ILFOV,839,507,332,240,599,0.41,0.62,0.27
MARAMURES,3397,1735,1662,1082,2315,1.93,2.20,1.72
MEHEDINTI,5580,2379,3201,707,4873,6.76,6.63,6.85
BUCURESTI,12963,6718,6245,1192,11771,1.06,1.09,1.02
MURES,6412,3004,3408,972,5440,3.09,3.40,2.86
NEAMT,6014,2709,3305,1060,4954,4.00,4.17,3.87
OLT,7920,3579,4341,870,7050,6.12,6.46,5.87
PRAHOVA,5778,2858,2920,1651,4127,2.17,2.60,1.87
SALAJ,4555,1994,2561,687,3868,5.08,5.26,4.94
SATU MARE,4654,2115,2539,487,4167,3.64,3.71,3.59
SIBIU,3940,1847,2093,796,3144,2.14,2.26,2.04
SUCEAVA,10375,4546,5829,2350,8025,5.42,5.51,5.35
TELEORMAN,8583,3701,4882,900,7683,7.91,7.37,8.37
TIMIS,2831,1484,1347,1005,1826,0.87,1.07,0.72
TULCEA,2572,1287,1285,479,2093,3.55,3.96,3.21
VALCEA,4953,2469,2484,1411,3542,3.56,4.13,3.14
VASLUI,8529,3523,5006,674,7855,8.05,7.12,8.86
VRANCEA,5044,2255,2789,595,4449,4.46,4.34,4.56
TOTAL,231868,109727,122141,39867,192001,2.96,3.14,2.82

