JUDET,TOTAL ,Sub 25 ani,25 - 29 ani,30 - 39 ani,40 - 49 ani,50 - 55 ani,peste 55 ani
ALBA,5881,1183,567,973,1236,970,952
ARAD,2173,178,99,303,553,524,516
ARGES,8244,963,577,1424,2081,1717,1482
BACAU,5382,750,333,660,1288,1202,1149
BIHOR,2924,404,199,432,697,505,687
BISTRITA NASAUD,3976,546,254,549,934,701,992
BOTOSANI,3431,397,125,371,795,839,904
BRAILA,3555,523,298,438,807,566,923
BRASOV,5640,1032,534,1048,1215,895,916
BUZAU,7780,646,335,1061,1943,1960,1835
CALARASI,3705,494,164,749,971,578,749
CARAS-SEVERIN,2437,271,136,360,599,560,511
CLUJ,4390,515,268,800,1077,913,817
CONSTANTA,6432,856,404,847,1539,1128,1658
COVASNA,3017,794,337,479,600,458,349
DAMBOVITA,5152,855,434,759,1210,931,963
DOLJ,17165,2305,1488,2489,4196,3542,3145
GALATI,10091,1550,835,1141,2431,1802,2332
GIURGIU,2147,433,228,246,474,442,324
GORJ,4161,586,298,517,956,972,832
HARGHITA,5511,1052,460,1077,1311,831,780
HUNEDOARA,6270,868,474,1014,1565,1366,983
IALOMITA,4136,598,333,539,978,695,993
IASI,8499,1028,408,1168,2200,1456,2239
ILFOV,913,149,55,131,223,194,161
MARAMURES,3713,708,346,671,878,599,511
MEHEDINTI,5774,606,346,728,1461,1391,1242
BUCURESTI,12789,185,1190,2830,3460,2924,2200
MURES,6713,1473,611,1186,1580,825,1038
NEAMT,6833,692,316,958,1792,1565,1510
OLT,8430,1261,905,964,1969,1698,1633
PRAHOVA,5900,877,351,837,1479,1316,1040
SALAJ,4627,709,360,997,1142,726,693
SATU MARE,4997,728,329,1088,1422,754,676
SIBIU,4346,772,393,749,1023,624,785
SUCEAVA,11074,1660,737,2058,2820,1666,2133
TELEORMAN,9362,1243,692,1462,2216,1925,1824
TIMIS,2487,274,144,438,655,437,539
TULCEA,3020,596,337,442,516,585,544
VALCEA,4828,754,440,616,1042,1096,880
VASLUI,9175,479,250,1270,2780,2328,2068
VRANCEA,4983,679,268,774,1179,1089,994
TOTAL,242063,32672,17658,37643,59293,47295,47502
